place/bounding_box/coordinates/0/0/0,place/bounding_box/coordinates/0/0/1,place/bounding_box/coordinates/0/1/0,place/bounding_box/coordinates/0/1/1,place/bounding_box/coordinates/0/3/0,place/bounding_box/coordinates/0/3/1,place/bounding_box/coordinates/0/4/0,place/bounding_box/type,place/country_code,place/full_name,place/name,place/place_type,place/url,createdAt,url,place/bounding_box/coordinates/0/2/1,place/bounding_box/coordinates/0/4/1,place/id,text,fullText,place/bounding_box/coordinates/0/2/0,place/country,twitterUrl
,,,,,,,,,,,,,2024-07-26 14:41:26+00:00,,,,,,"Time taken to reach 164,000 acres:

Carr Fire - 15 days
Camp Fire - N/A, maxed at 152K after 12 days
Dixie Fire - 9 days

The Park Fire? Less than 36 hours. #ParkFire #cawx",,,https://twitter.com/PrestonDonion/status/1816846295719678350
,,,,,,,,,,,,,2024-07-26 14:42:53+00:00,,,,,,Cohasset spot forecast:  #ParkFire https://t.co/aA8ifCKf8T,,,https://twitter.com/portofinor/status/1816846658191392938
,,,,,,,,,,,,,2024-07-26 14:47:14+00:00,,,,,,"Update 7:15am: A significant fire weather signal shows up today due to the combination of enhanced winds leading to near or record BI readings as well as increased wind shearing &amp; mid-level instability (enhanced pyro-cumulus day) due to the disturbance passage

 #ParkFire #CAWX https://t.co/YZVa44OqLn",,,https://twitter.com/portofinor/status/1816847752615322073
,,,,,,,,,,,,,2024-07-26 14:49:17+00:00,,,,,,#ParkFire @elonmusk thank you for cleaning this up!,,,https://twitter.com/Marky3Marc/status/1816848271496593848
,,,,,,,,,,,,,2024-07-26 14:49:28+00:00,,,,,,"Sending our love to Butte and Tehama Counties this morning.

If you own your home and have evacuated from the #ParkFire : please don't wait to contact your insurance company.  More things I wish I'd known when the #CarrFire forced us from our home in this.",,,https://twitter.com/publiclandlvr/status/1816848315092553833
,,,,,,,,,,,,,2024-07-26 14:52:40+00:00,,,,,,"Wildfires displace wildlife! Snakes may seek refuge in new areas. Be cautious in fire zones - stressed animals may act defensively. Give them space &amp; stay safe!  @SaveTheSnakes 
https://t.co/UqcWAtDshg 
#california #parkfire #wildfiresafety #wildlifeconservation https://t.co/5iMT6GjyCn",,,https://twitter.com/savethesnakes/status/1816849120927052171
,,,,,,,,,,,,,2024-07-26 14:54:53+00:00,,,,,,"#ClimateFriday Reading: #ParkFire ""As of early Friday, the Park fire was just 3 percent contained and had prompted evacuation orders in parts of Butte and Tehama Counties.""  There's potential for another Paradise disaster. Read more.  https://t.co/szs4VlJsMZ",,,https://twitter.com/CCLSVN/status/1816849678039941590
,,,,,,,,,,,,,2024-07-26 14:56:05+00:00,,,,,,"Innovative CRC test by Mainz Biomed shows 97% sensitivity. FDA approval could drive $MYNZ to $3, with speculation of $10-$20. Strong analyst confidence! 

#BuyTheDip $COP $EOG $PXD $CLR $FANG $HES $MRO $OXY $APA $DVN #ParkFire #Cabinet #DeadpoolAndWolverine #Kamala2024 #BB26 https://t.co/3yuA7Jt0I8",,,https://twitter.com/RochelleBa25571/status/1816849980092485936
,,,,,,,,,,,,,2024-07-26 14:57:57+00:00,,,,,,I used to run and mountain bike here 30 years ago. Devastating. My cousin lives in Chico and I've not heard how he and his wife are doing. #ParkFire #BidwellPark,,,https://twitter.com/RudySDOwens/status/1816850451796779056
,,,,,,,,,,,,,2024-07-26 15:01:48+00:00,,,,,,"The #Parkfire in Butte County has now surpassed 164,000 acres. Take a moment to watch this powerful video and consider how you and your family are prepared for the threat of wildfire. For more information on the Park Fire visit: https://t.co/f2Jx3YA3kh https://t.co/RiWlxhTLan",,,https://twitter.com/CALFIRE_CHIEF/status/1816851417287762394
